Company Name,Overall Rating,Review Date,Review Title,Job Details,Job Title,Location,Pros,Cons
LinkedIn,4.0,2024-02-05,great benefits okay wlb,former employee more than 1 year,data scientist,"New York, NY",great benefits stock 50 401k match healthcarefertility preservation coverage signon bonus and annual bonus supportive manager and teammates nice office if you prefer working in an office,okay worklife balance depending on the team but for my team 50 hoursweek was the norm and unsustainable for the longterm
Hexaware Technologies,4.0,2022-10-06,great benefits,former employee,associate data scientist,,great benefits package loved it,wished for more flexibility seriously
Micron Technology,4.0,2024-01-12,good,current employee,data scientist,Taichung,not really any but sometimes we can get good colleagues to work with,poor management and no respect to internal staff
Robert Bosch,5.0,2024-02-20,good,current employee,data scientist,Cluj-Napoca,worklife balance nice people interesting projects,not the highest base pay some projects are not the most complicated
Marvell Technology,5.0,2023-10-06,good,former employee,data scientist,,pros of a small and big company,lack of young colleagues in the work env
Groupon,1.0,2023-12-31,not good,current employee,data scientist,"Chicago, IL",some old engineers are good to work with,micromanagement bad work life balance
PayPal,3.0,2024-02-13,it was generally good,current employee,data scientist,,work life balance unlimited pto,low pay low stock price redundance senior management
Avanade,5.0,2023-11-19,good company,current employee,data scientist,,great environment to work in,range of projects to work on
Rakuten,4.0,2023-12-18,good place,former employee more than 3 years,data scientist,"San Francisco, CA",interesting problems to solve ability to learn from talented colleagues good work culture and employee friendly company,project priorities and planning is very poor certain ppl in higher ups are given undue attention and upper management politics
Shopify,4.0,2024-02-25,good and bad,current employee,data scientist,,overall good culture lots of different teams and interesting problems to solve remote work,leadership sometimes get unreasonable some product leaders are not so great lack of good directions
CrimsonLogic,5.0,2023-11-25,good to work,former employee more than 1 year,data scientist,Singapore,good place to work and good teamwork,basically not much negative aspects
Delivery Hero,4.0,2023-12-23,good for experiece,current employee more than 3 years,data scientist,Seoul,i have handled over 6m traffic the delivery industry provides a combined experience of distribution and commerce,industry average salary and difficulties in sustainable growth due to private equity funds
Gojek,4.0,2021-11-16,good place for personal growth and good worklife balance,former employee more than 3 years,data scientist,,smart people chill vibe but still deliver results,confusing career path unclear compensation structure
TikTok,3.0,2024-01-19,good work no balance,current employee,data scientist,"Mountain View, CA",work is interesting potential for growth,chinese 995 culture is blood sucking
LinkedIn,5.0,2024-01-17,good work place,former employee,data scientist,"Sunnyvale, CA",really work life balance company,not moving fast as others
Shopify,4.0,2024-02-13,overall good place to be,current employee less than 1 year,data scientist,,compensation good people remote culture good technology,very fast paced understaffed on some teams
eBay,5.0,2024-02-19,good to work here,current employee,data scientist,"Atlanta, GA",good benefits pay and value,so many lay offs here
Alibaba Group,4.0,2023-10-29,good learning experience,former employee,data scientist,,work from home flexible work environment,no such cons that i experienced
Works Applications,4.0,2022-03-03,good work place,current employee,data scientist,Tokyo,good work place good work place,work time is too long
Zebra Technologies,5.0,2024-01-12,good work culture,current employee more than 1 year,data scientist,Bengaluru,good work culture and work life balance,need to land in a team which does the development otherwise it can get to limited opporutnity for the growth
Google,5.0,2024-02-14,great place to work good wlb smart people and good perks,current employee more than 3 years,data scientist,"Mountain View, CA",good wlb teammates are smart interesting projects,bureaucracy and politics not too bad though
Micron Technology,5.0,2024-02-02,good company average progression,current employee more than 1 year,data scientist,Singapore,good company culture with diverse workforce,progression can be slow for those who value stability the company is a good choice if you are looking to move up the ranks quickly this may not be the place for you
PayPal,4.0,2023-12-04,good leader with tight deadlines,current employee,data scientist,"San Jose, CA",work on high visability project,high pressure bad wlb tight deadline
Expedia Group,5.0,2024-01-07,good work life balance,former employee more than 3 years,data scientist,"Seattle, WA",good work life balance when work at expedia group,leader team changes a lot when i worked there
Sabre,4.0,2024-01-12,good people lack consistency,former employee more than 3 years,data scientist,"Southlake, TX",1 good projects 2 good people 3 scope of innovation,1 constant shifting priorities 2 frequent reorgs
HERE Technologies,4.0,2023-09-05,good working and learning environment,current employee more than 1 year,data scientist,"Chicago, IL",you have time and chance to improvise,affected by the headwind of the technology layoff
Visa Inc.,4.0,2023-12-05,good place to work at with steep learning curve however culture is not as good as faang,current employee more than 1 year,data scientist,"Foster City, CA",great 401k match good learning curve,no work life balance pretty competitive
