Company Name,Overall Rating,Review Date,Review Title,Job Details,Job Title,Location,Pros,Cons
SAS,1.0,2023-08-25,poor management,current employee more than 1 year,associate software engineer,"Cary, NC",no pros at all be ready to be verbally abused by your manager and do not expect any help at all,management is horrible do not listen when told to voice your opinion because your team and manager will think that you are incompetent they do not stand by the be curious mantra its total bs
Mphasis,2.0,2022-10-05,poor management,current employee more than 10 years,software developer,"New York, NY",wfh good projects flexible gets clients,no 401k does not promote candidates who are like 510 years doing same work less career advancement prospects poor management no good pay performance linked is namesake if they have budget and somebody is crying they will give else they will keep you hanging for life
Hitachi,3.0,2023-01-17,poor management,former employee more than 5 years,engineer,,good place to learn manufacturing and automotive industry,poor management too busy too much work load and not enough staff
Xilinx,2.0,2022-10-18,poor management,former employee more than 3 years,engineer,,good before change in management,was good with management then covid happened and management changed was given extremely difficult tasks outside of my expertise no assistance and then told i didnt have satisfactory performance new management then made repeatedly disparaging comments when they had misused my expertise i hate using the term but it was toxic hopefully it was localized but i heard various other stories so im unsure
Wipro,3.0,2024-02-16,poor management,current employee,network engineer,Pune,good technology learning opportunity,no increment management is bad
Seagate Technology,1.0,2023-09-06,poor management,former employee more than 3 years,technical support engineer,"Oklahoma City, OK",paycheck was always on time,poor management and organizational control
Visa Inc.,1.0,2023-11-29,poor management lick it or kick it,current employee more than 5 years,senior software engineer,"Foster City, CA",nothing much after they are cutting costs on every bit of things,your performance is only reviewed on how much you lick your managers when things doesnt go well your manager will only blame you all old people working and they will never give you a chance to prove you are better for their job securities worst compensation in the tech industry
HubSpot,2.0,2023-11-30,uncomfortable culture poor management,former employee,senior software engineer,"Cambridge, MA",the pay and benefits are competitive and there is opportunity to work remotely for those preferring remote work the office is in an easily accessible walkable location and is well equipped with amenities,the company is very aggressive and heavy handed with its culture which is very political and very far left radical to provide a more welcoming and constructive environment for all of its employees politics should and traditionally were kept out of the office but not so at hubspot regarding team dynamics teams are set up to look good on paper but managers are focused on completing rituals and voicing slogans while being indifferent to the progress and success of employees or else being too afraid of confrontation to actually make expectations clear supervisors have no interest in training new staff on company resources and company paradigms and merely wish to insert staff as cogs in the machine rather than preparing them for excellence and a greater contribution there also appear to be higher management schemes to fish for justification to push employees out of the company as a backdoor approach to layoffs rather than being straightforward
HERE Technologies,2.0,2022-08-10,poor work environment incompetent management,current employee more than 1 year,software engineer,"Chicago, IL",flexible time off policy decent benefits,engineering team is completely overworked often clocking more than 60 hours a week this is not helped by the line managers who refuse to delegate tasks
NCR,1.0,2024-02-12,dishonest and poor management,former employee more than 1 year,customer engineer ii,"Chicago, IL",you are provided with a fleet vehicle almost feels as if youre running your own business with inventory and breakfix calls,dishonest management very disrespectful when you are asking for something as simple as weekends off a specific person on the management team made sexually abusive remarks and was not fired or reprimanded at all management was covering up for this person and nothing ever happened i felt as i was forced to quit i couldnt even listen to the sound of his voice when we called meetings what kind of business are they running
Dell Technologies,2.0,2024-02-07,poor management outdated guidance confused leadership,current employee more than 1 year,software engineer ii,,decent 401k and medical benefits,leadership terrible misguided untrustworthy they back peddled on remote work after consistently saying they support forcing all employees to rto within a month regardless of where nearest office is top many older unknowledgeable managers that dont know anything about engineering engineers dont prioritize retaining customers and fixing customerfacing issues too much emphasis on catch termswords to sell something instead of delivering quality for the use case
Gojek,2.0,2024-01-24,poor management no transparency very frequent layoffs,former employee more than 1 year,senior software engineer,,good engaging work good compensation,constant threat of layoffs too many changes in org structure no transparency from upper management
Wipro,2.0,2024-02-13,poor infrastructure,current employee more than 1 year,software engineer,Chennai,bascially there is no pros while working for wipro,all are cons not even basic infrastructure available water not available in restroom coffee wont come in the coffee vending machine so and soooooo
NetApp,2.0,2023-02-11,poor leadership,former employee more than 5 years,software engineer,"Boulder, CO",i had an amazing team and an amazing manager many smart engineers pay was good too good cant match it easily,quarterly reorgs most didnt affect the workers directly but multiple layoffs have happened in the past several years canned projects the leadership doesnt seem to understand the market and shifts too often wasting valuable resources certain genders and races are less likely to get promotions heavily biased ceo and leadership has no business talking politics and officially espousing political viewpoints ceo has a way of demoralizing the company with every speech he makes no matter how good a quarter or a year was it wasnt good enough diversity has a way of overlooking the best distribution of the employees is skewed relative to local population quality team was mostly laid off quality is built into products not tested in
Marvell Technology,3.0,2023-10-17,team was good upper management was super poor,former employee more than 8 years,senior staff software engineer,Hyderābād,if your team is good then the workplace can be pretty good but you need to be lucky for that most of the work in some teams are pretty interesting technology wise its really good if youre a lateral hire but if you advance to a position youre probably being significantly underpaid,really poor raises especially you have been there a while erratic upper management does weird things like firing half a team on an extremely profitable project while the company has been making record profits for a year
Zoom Video Communications,3.0,2024-01-06,management,current employee more than 1 year,software development engineer,"San Jose, CA",wlb is good theres a lot of cross team collaboration,the company is all chinese
Shopee,5.0,2019-08-19,good management,former employee less than 1 year,software engineer,,employee base are very young not much office politics good management,as an engineer if you are not super good at what you do theres not much upward mobility
HCLTech,2.0,2024-01-12,management and projects,current employee more than 1 year,software engineer,Lucknow,i wouldnt say any pros i have seen this far but my coworkers are quite supportive,they dont have projects and the upper management is really very slow and the hr team is worst they barely reply me for any of my concern
ByteDance,1.0,2024-01-23,bad management,current employee more than 3 years,software engineer,"San Jose, CA",good salary good work and good perks,bad work life balance avoid if possible
Luxoft,2.0,2024-01-15,crisis management,former employee more than 1 year,software engineer,"Munich, Bavaria",strong brand recognition high quality developers interesting community,classic engineering services firm loaded with long term eastern european managers who are incapable of operating with modern management methods high speed high stress low job security your career follows your project
SS&C,1.0,2024-01-15,bad management,current employee,software engineer,"Mishawaka, IN",remote option is very good,very bad hr management very bad immigration policy
Zebra Technologies,1.0,2024-03-01,unprofessional management,current employee,software engineer,,zebra gem points salary holidays these are the only perks here,work culture team management more frequent firings
ServiceNow,2.0,2024-02-10,good company poor management beware,current employee more than 3 years,tech support engineer,"Dublin, Dublin",good company salary benefits and office,beware of this company dept mgmt is poor they have bully mentality micro mgmt and one manager in particular is very aggressive pay rise is poor even though company doing good overall career opportunities limited
Fujitsu,1.0,2022-07-05,poor,current employee,senior engineer,,a global company more experience,pay so little lack of management skill system outdated
