Review,Rating
Very good value and a great tv very happy and delivery next day and free well done Hughes,1
"I couldn't make an official review on a product on the app so I came here, my mum bought my son an inflatable chair, it's very small, it deflates itself and eventually ends up with a hole in it, twice this has happened as my mum bought another to replace the first and yet again deflates itself and a hole was made in the exact same place coincidently. Its a bad product anyone who reads this remember ""paw patrol inflatable chair"" I expect products from argos to be more sustainable guess not...",0
"Fantastic! Extremely easy to use website, fantastic range of batteries, fantastic packaging , dispatch and delivery service and all of that at fantastic prices! A first class company to deal with 👍",1
So far annoyed as hell with this bt monthly pass. Its not easy as abc to get the app on TV. I want to watch on TV not on my phone. Not everyone is computer clever. Cant wait to cancel the damn thing. Why can't it be easy .,0
Correct replacement delivered on time now my vac is working again Thank you,1
"Now Tv have the worst Broadband, it has gotten progressively worse and they refuse to up their quality. Do not join their services",0
"Everything happened as you said, delivery great and on time, cannot fault whatsoever and will use again.",1
"Quick and fast delivery. Website was easy to use, had no issues and came next day with free delivery.",1
This is by far the most shocking experience I’ve ever had. I am a disabled person who made and order from Wing stop. Just like the many other orders I’ve made over the years. Today the courier couldn’t get through to me? Even though I was in! They said they tried and tried. So they left the food outside. Who on earth leaves food outside. And to make things worse Deliveroo refuse to refund me for food I didn’t get. Sadly i dont have the funds for this. So am leaving this to warn people of this shocking and unacceptable behaviour Shame on you! Courier 1928 PS this is not a dis on WingStop. They’re Excellent .just dont use Deliveroo!!!!!!!!,0
Easy instructions to follow on site & very efficient service. Quick delivery & good quality product,1
"Very pleasant experience today with both customer service and Tech support, Have had a couple of issues over the two years when speaking to customer service, but they have just been poorly trained or bad at the job!. 95% if the time it's 5 star service. Certainly compared to BT and Vodafone which are both terrible. Have renewed for another year hopefully will be hassle free again 🙂",1
"Fast hassle free. Mean what they say and say what they mean. Would definitely recommend and will use them in the future.
Stephanie",1
Nice website. Easy to find what you want. Competitive pricing. Swift delivery. Careful packaging. Detailed installation instructions. Excellent after-sales support in the unlikely event it is needed.,1
"Sent a form on their website regarding missing items in my order. This is their 1st response:

Thanks for getting in touch.
We regularly remind our partners to check that they have included all items in an order, before they hand the order to the rider.
We're really sorry that in this instance, there was one or more items missing from your order.
Unfortunately, we're unable to offer you credit for this order.
If you have any further questions, please contact support[a]deliveroo.co.uk.
Many thanks,
Team Deliveroo

=== my response:

Hi there,

Thanks for getting back to me. May I please ask why this order can’t be refunded? Would this mean that the customer pays for the mistake of the restaurant?
Can’t Deliveroo simply offer credit as a gesture of good will to leave a customer happy and satisfied?

=== their 2nd response:

We're really sorry your order wasn't as you'd have hoped for. You can leave your feedback for the restaurant on our app to help them improve on future orders. Sorry, we won't be able to provide compensation for this order.
We hope we can welcome you back to Deliveroo in the near future, and if you have any further queries please let us know.
Best wishes,
Aaron
Deliveroo Customer Care

=== reached out again via the app:

Thanks for your feedback. We're really sorry to hear that this order was not as you had expected.
We'll use your feedback to improve our service. You can also share ratings and feedback through our app directly with the restaurant.
Stacey Ann
Deliveroo Customer Care

=== reached out on the web for the final time:

Thanks for your feedback. We're really sorry to hear that this order was not as you had expected.
We'll use your feedback to improve our service. You can also share ratings and feedback through our app directly with the restaurant.
Best wishes,
Mary
Mary Eunice
Deliveroo Customer Care

===

What's the point of a customer service team?...",0
"Amazing company!
Really fast delivery
I purchased the GTech Pro and I have 4 pug dogs and it gets their hair up I am amazed! Will defiantly be purchasing more of GTech products",1
Great product. Quick delivery my partner will be very happy with this Xmas present,1
"Placed my order, good communication and it arrived quickly, looks great quality.",1
"Received phone very quickly, packaged with care. Excellent service!",1
"Excellent service from the AO engineer and delivery updates were great, quick and easy.",1
Brilliant unbiased help the management and staff must be applauded,1
I explained exactly what problem was when booking. Said heater wasn’t working. Engineer turned up without the part. Three days later still waiting for call back as to when they will return with the part to fix it,0
